CustomerID,Age,Gender,Tenure_Months,Monthly_Charges,Total_Charges,Contract,Payment_Method,Internet_Service,Online_Security,Tech_Support,Num_Complaints,Satisfaction_Score,Num_Products,Warehouse_To_Home_KM,Days_Since_Last_Order,Cashback_Amount,Coupons_Used,Marital_Status,Preferred_Device,Churn
CUST-00025,34.0,Male,4,39.91,251.73,Two Year,Electronic Check,DSL,Yes,No,4,3.0,3,36.8,98.0,131.46,1,Divorced,Mobile,Yes
CUST-00026,43.0,Female,14,104.26,1440.1,One Year,Credit Card,DSL,Yes,No,1,2.0,1,18.4,8.0,173.28,4,Single,Mobile,No
CUST-00027,25.0,Male,33,107.38,3426.64,Month-to-Month,Electronic Check,DSL,Yes,No,1,3.0,2,1.3,19.0,12.82,2,Single,Mobile,Yes
CUST-00028,47.0,Male,7,43.61,329.32,Month-to-Month,Electronic Check,DSL,No,No Internet,1,5.0,1,2.9,6.0,248.71,5,Divorced,Mobile,Yes
CUST-00029,33.0,Male,1,60.05,68.39,Month-to-Month,Mailed Check,Fiber Optic,No,No,0,5.0,5,13.9,16.0,9.92,3,Single,Mobile,Yes
CUST-00030,37.0,Male,18,101.46,1789.66,Month-to-Month,Mailed Check,Fiber Optic,No,No,1,3.0,1,35.9,8.0,171.73,3,Single,Desktop,No
CUST-00031,33.0,Male,72,95.1,6867.06,One Year,Bank Transfer,DSL,Yes,No Internet,2,3.0,1,1.4,57.0,244.23,1,Married,Mobile,No
CUST-00032,67.0,Female,11,,1132.59,One Year,Electronic Check,Fiber Optic,No,Yes,0,5.0,3,8.5,3.0,34.59,2,Single,Mobile,No
CUST-00033,41.0,Female,13,69.84,860.59,Month-to-Month,Credit Card,Fiber Optic,Yes,No,2,3.0,2,3.3,7.0,204.53,2,Married,Desktop,No
CUST-00034,27.0,Male,72,109.15,7843.73,Month-to-Month,Electronic Check,DSL,Yes,Yes,2,1.0,4,3.0,9.0,63.11,3,Divorced,Mobile,No
CUST-00035,53.0,Female,28,50.6,1490.64,One Year,Bank Transfer,Fiber Optic,No,No Internet,3,3.0,4,19.6,40.0,59.61,3,Divorced,Tablet,No
CUST-00036,24.0,Female,30,33.67,974.02,One Year,Mailed Check,DSL,No,No,1,4.0,4,26.3,29.0,13.37,1,Single,Tablet,No
CUST-00037,44.0,Female,19,88.87,1691.86,Two Year,Mailed Check,DSL,No,No,0,5.0,3,38.1,4.0,110.49,0,Divorced,Mobile,No
CUST-00038,18.0,Female,72,,5048.46,Month-to-Month,Electronic Check,DSL,Yes,No,0,3.0,1,17.3,27.0,267.8,2,Married,Mobile,No
CUST-00039,23.0,Male,28,103.46,2822.79,One Year,Credit Card,None,No,No,1,3.0,1,1.0,56.0,211.31,3,Divorced,Mobile,Yes
CUST-00040,44.0,Female,54,26.12,1418.36,Month-to-Month,Bank Transfer,Fiber Optic,No,No,1,3.0,1,6.6,18.0,,0,Single,Mobile,No
CUST-00041,52.0,Female,28,102.37,2927.76,Month-to-Month,Electronic Check,Fiber Optic,No,No,0,1.0,4,8.7,28.0,245.58,0,Single,Desktop,Yes
CUST-00042,44.0,Male,31,47.33,1399.13,One Year,Credit Card,None,Yes,No Internet,0,5.0,3,4.8,22.0,250.68,2,Married,Mobile,No
CUST-00043,40.0,Male,8,83.49,671.65,Two Year,Credit Card,DSL,No,No Internet,3,1.0,5,11.6,13.0,178.06,2,Divorced,Mobile,No
CUST-00044,37.0,Female,8,22.01,157.29,Month-to-Month,Mailed Check,None,No,No,3,1.0,3,4.0,0.0,93.1,0,Married,Desktop,No
CUST-00045,21.0,Male,36,78.96,2890.21,One Year,Credit Card,Fiber Optic,No,No Internet,0,4.0,1,34.5,6.0,264.17,0,Married,Mobile,No
CUST-00046,31.0,Female,8,89.73,656.95,One Year,Credit Card,Fiber Optic,No Internet,No Internet,3,2.0,1,2.3,88.0,104.96,2,Married,Mobile,No
CUST-00047,35.0,Male,19,54.88,1064.22,Month-to-Month,Electronic Check,Fiber Optic,No Internet,No,1,3.0,2,8.3,13.0,,4,Divorced,Mobile,No
CUST-00048,56.0,Female,6,39.54,204.56,Two Year,Mailed Check,Fiber Optic,No,No Internet,2,3.0,1,2.0,10.0,167.8,3,Divorced,Mobile,No
CUST-00049,46.0,Male,40,71.76,2881.55,One Year,Electronic Check,None,No Internet,No Internet,1,4.0,3,6.7,28.0,25.33,2,Divorced,Mobile,No
CUST-00050,18.0,Female,2,101.32,,One Year,Mailed Check,None,Yes,No,0,3.0,1,9.9,70.0,63.3,2,Married,Mobile,No
CUST-00051,46.0,Female,42,50.35,2102.11,Month-to-Month,Electronic Check,DSL,Yes,No,1,5.0,3,12.1,10.0,254.26,2,Married,Desktop,No
CUST-00052,36.0,Male,22,43.25,975.39,Month-to-Month,Bank Transfer,DSL,No,Yes,1,3.0,3,6.0,7.0,125.2,1,Single,Mobile,No
CUST-00053,32.0,Female,4,45.89,185.74,Two Year,Mailed Check,DSL,No Internet,Yes,2,5.0,3,24.9,69.0,146.57,2,Single,Mobile,No
CUST-00054,50.0,Male,18,112.91,2025.74,Month-to-Month,Bank Transfer,DSL,,No,0,3.0,5,10.9,44.0,161.62,3,Married,Desktop,No
CUST-00055,56.0,Male,7,53.93,359.69,Month-to-Month,Bank Transfer,DSL,No,No,1,3.0,3,73.2,36.0,147.89,1,Married,Desktop,Yes
CUST-00056,55.0,Male,9,18.36,169.12,Two Year,Bank Transfer,DSL,No,No,1,5.0,3,2.0,24.0,65.38,0,Single,Mobile,No
CUST-00057,30.0,Female,10,96.17,972.8,Two Year,Electronic Check,DSL,Yes,No Internet,4,4.0,1,3.0,16.0,274.82,4,Married,Mobile,Yes
CUST-00058,37.0,Male,1,87.93,38.47,Month-to-Month,Mailed Check,Fiber Optic,No,No,0,,5,24.3,30.0,203.75,1,Single,Mobile,No
CUST-00059,46.0,Male,72,30.86,2204.45,Month-to-Month,Bank Transfer,None,Yes,Yes,3,4.0,1,12.1,7.0,195.32,0,Divorced,Mobile,Yes
CUST-00060,55.0,Male,1,116.49,63.73,One Year,Bank Transfer,DSL,Yes,No,2,2.0,2,6.7,51.0,251.0,1,Single,Mobile,No
CUST-00061,35.0,Female,26,78.81,2047.07,Month-to-Month,Mailed Check,DSL,Yes,Yes,0,3.0,5,7.9,16.0,202.98,3,Single,Tablet,No
CUST-00062,39.0,Female,11,68.08,719.26,Month-to-Month,Credit Card,DSL,No,No,2,5.0,1,12.4,42.0,36.33,1,Married,Mobile,Yes
CUST-00063,26.0,Male,24,56.22,1387.82,Month-to-Month,Electronic Check,None,No,No,0,4.0,1,1.3,50.0,101.85,1,Divorced,Mobile,Yes
CUST-00064,25.0,Male,10,107.87,1112.34,One Year,Bank Transfer,Fiber Optic,Yes,No,2,3.0,2,21.7,2.0,112.08,2,Single,Tablet,No
CUST-00065,53.0,Female,26,42.4,1056.26,Month-to-Month,Bank Transfer,None,No,No,0,1.0,1,8.9,33.0,201.64,2,Divorced,Mobile,Yes
CUST-00066,60.0,Male,31,46.58,,One Year,Bank Transfer,None,No,Yes,5,4.0,3,8.0,10.0,211.55,1,Single,Desktop,No
CUST-00067,40.0,Female,28,30.24,878.65,One Year,Bank Transfer,None,No Internet,Yes,1,3.0,2,22.3,13.0,166.94,2,Single,Mobile,No
CUST-00068,56.0,Female,2,93.91,179.05,Month-to-Month,Electronic Check,DSL,No Internet,No,1,1.0,1,12.6,39.0,119.95,4,Single,Desktop,No
CUST-00069,47.0,Female,25,77.55,1902.34,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,3,1.0,4,21.0,94.0,262.88,3,Single,Mobile,Yes
CUST-00070,32.0,Male,7,78.91,497.75,Month-to-Month,Bank Transfer,None,Yes,No,0,4.0,1,39.6,48.0,166.48,1,Married,Mobile,Yes
CUST-00071,47.0,Female,1,39.85,82.56,Month-to-Month,Electronic Check,DSL,Yes,No,3,3.0,2,43.7,10.0,247.15,2,Married,Mobile,Yes
CUST-00072,63.0,Female,12,83.12,1042.58,Month-to-Month,Electronic Check,Fiber Optic,No,No Internet,1,,1,8.4,36.0,278.12,1,Married,Mobile,No
CUST-00073,41.0,Female,13,94.55,1218.75,One Year,Bank Transfer,DSL,No,No Internet,0,5.0,1,1.1,11.0,126.86,1,Single,Desktop,No
CUST-00074,63.0,Male,15,53.79,845.16,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,0,5.0,1,1.0,17.0,87.23,3,Married,Desktop,Yes
CUST-00075,18.0,Male,29,98.13,2697.51,One Year,Electronic Check,None,No Internet,No,2,3.0,4,18.3,3.0,111.61,4,Married,Mobile,No
CUST-00076,53.0,Male,8,52.88,489.42,One Year,Credit Card,Fiber Optic,No,Yes,0,3.0,1,1.3,53.0,24.82,3,Married,Desktop,No
CUST-00077,43.0,Female,9,93.81,836.44,Month-to-Month,Bank Transfer,Fiber Optic,No,No,2,3.0,1,7.4,31.0,105.12,1,Married,Mobile,No
CUST-00078,37.0,Female,1,21.37,28.46,Month-to-Month,Mailed Check,Fiber Optic,No,No,1,4.0,3,16.3,59.0,151.91,3,Married,Mobile,Yes
CUST-00079,43.0,Male,27,73.12,,Two Year,Electronic Check,Fiber Optic,No,No,1,1.0,1,96.4,7.0,61.76,0,Married,Mobile,No
CUST-00080,,Male,20,114.95,2368.79,One Year,Bank Transfer,Fiber Optic,No,Yes,0,4.0,2,3.8,4.0,53.41,2,Married,Mobile,No
CUST-00081,38.0,Male,10,116.12,1108.16,Two Year,Credit Card,None,No Internet,No Internet,2,4.0,1,1.0,50.0,95.1,3,Single,Mobile,No
CUST-00082,46.0,Female,29,46.18,1412.94,Month-to-Month,Credit Card,None,Yes,Yes,1,5.0,2,1.0,63.0,30.2,2,Single,Mobile,Yes
CUST-00083,62.0,Female,18,62.14,1138.33,Two Year,Bank Transfer,Fiber Optic,No,No Internet,5,2.0,2,3.8,,147.94,3,Married,Mobile,No
CUST-00084,34.0,Male,15,24.3,395.63,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,2,2.0,3,74.4,30.0,190.64,1,Divorced,Desktop,Yes
CUST-00085,30.0,Male,17,105.33,1774.15,Month-to-Month,Credit Card,DSL,No,No,5,2.0,2,1.2,5.0,176.51,0,Married,Desktop,No
CUST-00086,34.0,Male,24,74.86,1731.23,Month-to-Month,Bank Transfer,DSL,No,No,1,5.0,3,20.8,0.0,84.07,3,Single,Mobile,Yes
CUST-00087,,Female,25,56.51,1459.28,Month-to-Month,Electronic Check,DSL,,No Internet,1,2.0,5,2.4,23.0,258.2,2,Married,Tablet,No
CUST-00088,46.0,Female,8,29.28,249.81,One Year,Credit Card,DSL,Yes,No,2,4.0,3,3.4,90.0,32.91,3,Married,Desktop,No
CUST-00089,34.0,Female,3,112.68,406.12,Month-to-Month,Credit Card,DSL,Yes,Yes,3,5.0,5,1.3,26.0,0.47,2,Married,Tablet,Yes
CUST-00090,49.0,Male,4,71.02,274.39,Two Year,Credit Card,DSL,No,No Internet,1,5.0,1,3.9,16.0,40.34,2,Single,Mobile,No
CUST-00091,43.0,Female,24,46.29,1090.0,One Year,Credit Card,DSL,No,No,0,3.0,5,1.8,9.0,217.18,3,Married,Mobile,No
CUST-00092,55.0,Male,49,53.02,2667.38,Two Year,Credit Card,Fiber Optic,No Internet,Yes,0,5.0,2,1.0,9.0,236.59,2,Single,Desktop,No
CUST-00093,32.0,Female,12,45.07,636.43,Month-to-Month,Bank Transfer,DSL,Yes,No,2,4.0,2,24.0,9.0,229.92,3,Married,Mobile,Yes
CUST-00094,37.0,Male,4,78.18,313.19,One Year,Bank Transfer,Fiber Optic,Yes,No,1,5.0,2,3.2,7.0,97.3,0,Single,Mobile,No
CUST-00095,36.0,Female,33,111.0,3625.36,Month-to-Month,Bank Transfer,DSL,No,No,0,2.0,3,1.9,2.0,262.46,2,Divorced,Mobile,No
CUST-00096,21.0,Female,42,103.67,,One Year,Electronic Check,Fiber Optic,Yes,No,1,4.0,5,4.8,42.0,266.85,4,Married,Mobile,No
CUST-00097,46.0,Female,51,64.04,3253.34,One Year,Bank Transfer,None,Yes,No Internet,2,4.0,3,21.0,11.0,246.03,2,Single,Desktop,No
CUST-00098,45.0,Female,22,100.65,2244.26,Month-to-Month,Credit Card,DSL,No,No Internet,2,4.0,1,3.8,5.0,221.11,3,Divorced,Desktop,No
CUST-00099,42.0,Male,47,60.31,2821.61,Month-to-Month,Credit Card,None,No Internet,No,3,4.0,1,11.7,27.0,252.32,2,Married,Tablet,No
CUST-00100,38.0,Male,1,43.23,121.43,One Year,Mailed Check,Fiber Optic,No Internet,Yes,1,3.0,2,3.7,81.0,197.49,2,Married,Mobile,No
CUST-00101,22.0,Female,2,116.34,197.71,One Year,Mailed Check,DSL,Yes,No,2,1.0,2,7.3,34.0,,4,Married,Mobile,Yes
CUST-00102,36.0,Male,2,48.39,120.81,Month-to-Month,Credit Card,DSL,Yes,No Internet,3,3.0,1,11.1,6.0,189.02,1,Married,Desktop,No
CUST-00103,37.0,Male,29,50.37,1436.29,Month-to-Month,Credit Card,None,No,No,2,3.0,4,21.3,16.0,49.54,1,Married,Desktop,No
CUST-00104,30.0,Male,1,116.97,102.89,Month-to-Month,Bank Transfer,Fiber Optic,No,No,2,3.0,2,5.0,52.0,54.79,2,Single,Tablet,No
CUST-00105,39.0,Female,16,31.39,481.64,One Year,Bank Transfer,DSL,No,No,1,5.0,3,8.9,1.0,129.19,1,Single,Desktop,No
CUST-00106,47.0,Male,15,94.05,1447.68,Month-to-Month,Bank Transfer,None,No,No,1,2.0,2,15.4,12.0,215.84,4,Divorced,Desktop,No
CUST-00107,68.0,Male,8,111.58,938.56,One Year,Bank Transfer,Fiber Optic,Yes,No Internet,1,3.0,5,4.8,14.0,42.12,0,Single,Mobile,No
CUST-00108,44.0,Male,49,69.18,3417.71,One Year,Credit Card,Fiber Optic,Yes,No,6,3.0,3,3.7,18.0,58.43,1,Married,Tablet,No
CUST-00109,45.0,Male,4,18.25,67.6,One Year,Credit Card,None,No Internet,No,3,3.0,2,12.6,24.0,23.15,4,Divorced,Mobile,Yes
CUST-00110,40.0,Female,10,55.51,562.11,Two Year,Electronic Check,Fiber Optic,No,Yes,1,5.0,3,45.7,20.0,50.25,2,Married,Desktop,No
CUST-00111,18.0,Female,35,29.16,1065.49,Month-to-Month,Mailed Check,DSL,No,No Internet,3,2.0,2,36.1,5.0,66.04,6,Divorced,Desktop,Yes
CUST-00112,41.0,Female,1,59.62,106.09,Month-to-Month,Credit Card,Fiber Optic,No,Yes,4,4.0,1,13.8,16.0,167.56,1,Married,Mobile,Yes
CUST-00113,42.0,Male,26,97.0,2387.49,Month-to-Month,Electronic Check,None,No,No Internet,1,3.0,2,8.2,13.0,116.53,1,Single,Mobile,Yes
CUST-00114,76.0,Female,40,61.87,2461.19,Month-to-Month,Bank Transfer,DSL,Yes,Yes,1,4.0,4,12.5,79.0,28.14,3,Single,Desktop,No
CUST-00115,39.0,Female,64,61.19,3904.95,Month-to-Month,Credit Card,DSL,No,Yes,2,4.0,4,24.3,40.0,47.53,1,Divorced,Mobile,No
CUST-00116,46.0,Male,50,73.68,3717.46,Two Year,Mailed Check,DSL,No,No,0,4.0,2,1.5,60.0,155.97,1,Divorced,Tablet,No
CUST-00117,41.0,Female,9,76.17,682.19,Two Year,Bank Transfer,DSL,Yes,No,2,5.0,3,22.8,37.0,39.57,5,Married,Mobile,Yes
CUST-00118,25.0,Female,21,103.63,2212.19,Month-to-Month,Electronic Check,DSL,Yes,No,1,5.0,3,16.1,1.0,218.67,1,Married,Tablet,No
CUST-00119,57.0,Female,1,48.84,0.0,Month-to-Month,Bank Transfer,None,,No,1,5.0,4,4.7,19.0,28.59,3,Married,Desktop,No
CUST-00120,52.0,Female,7,100.17,714.19,Month-to-Month,Credit Card,None,No,No,1,4.0,1,31.3,45.0,57.05,0,Divorced,Mobile,No
CUST-00121,53.0,Male,2,74.59,194.19,Two Year,Electronic Check,DSL,No,No Internet,1,4.0,2,1.2,26.0,262.8,3,Married,Mobile,No
CUST-00122,29.0,Male,9,48.05,358.73,Two Year,Bank Transfer,Fiber Optic,No,No Internet,1,2.0,2,37.6,42.0,160.07,3,Married,Desktop,No
CUST-00123,61.0,Female,49,47.51,2453.67,Month-to-Month,Credit Card,Fiber Optic,No,No,2,2.0,1,7.4,98.0,296.75,3,Single,Mobile,Yes
CUST-00124,22.0,Male,10,54.11,600.64,One Year,Electronic Check,DSL,No,No,3,3.0,4,24.9,8.0,45.75,3,Married,Desktop,No
CUST-00125,50.0,Male,19,80.27,1525.2,Month-to-Month,Credit Card,DSL,No,No,2,4.0,1,2.5,122.0,23.24,1,Single,Desktop,No
CUST-00126,72.0,Female,13,41.08,492.62,Month-to-Month,Credit Card,DSL,Yes,No,1,3.0,2,12.6,3.0,22.76,2,Single,Mobile,Yes
CUST-00127,28.0,Female,14,,1531.67,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,1,3.0,4,1.0,75.0,280.6,2,Married,Desktop,Yes
CUST-00128,,Male,72,75.49,5439.47,One Year,Credit Card,DSL,No,No,3,4.0,3,4.9,6.0,192.96,2,Married,Tablet,Yes
CUST-00129,43.0,Female,8,110.0,902.03,Month-to-Month,Electronic Check,DSL,No,No,2,2.0,3,26.5,38.0,101.12,2,Single,Tablet,No
CUST-00130,34.0,Female,23,22.64,595.75,Month-to-Month,Mailed Check,DSL,No Internet,Yes,4,3.0,2,9.1,45.0,115.23,1,Single,Tablet,Yes
CUST-00131,,Female,13,52.26,655.58,Month-to-Month,Credit Card,None,No,No,2,4.0,2,16.2,50.0,210.05,4,Married,Desktop,Yes
CUST-00132,42.0,Male,1,20.28,48.42,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,1,5.0,1,24.7,17.0,185.0,3,Married,Desktop,Yes
CUST-00133,27.0,Male,16,45.23,659.06,One Year,Electronic Check,Fiber Optic,Yes,No Internet,1,3.0,3,11.3,5.0,106.75,3,Married,Mobile,No
CUST-00134,48.0,Male,40,104.2,4147.32,Month-to-Month,Bank Transfer,None,No,No Internet,0,2.0,1,13.2,47.0,207.0,1,Single,Tablet,No
CUST-00135,29.0,Male,2,21.66,,Two Year,Electronic Check,DSL,Yes,Yes,0,2.0,2,21.8,31.0,102.78,1,Married,Mobile,No
CUST-00136,63.0,Male,1,61.61,96.17,Month-to-Month,Bank Transfer,Fiber Optic,No,No,1,,1,1.9,8.0,135.72,1,Single,Mobile,Yes
CUST-00137,31.0,Male,4,29.76,81.38,Month-to-Month,Credit Card,DSL,Yes,No,3,3.0,3,1.1,14.0,255.24,1,Single,Mobile,Yes
CUST-00138,37.0,Male,34,59.68,2007.08,Month-to-Month,Credit Card,DSL,Yes,No,0,4.0,4,14.6,10.0,35.48,2,Married,Mobile,Yes
CUST-00139,53.0,Female,30,101.89,3129.73,Month-to-Month,Electronic Check,None,No,No,2,4.0,2,55.4,73.0,129.73,1,Married,Desktop,No
CUST-00140,24.0,Male,19,80.31,1583.99,Month-to-Month,Credit Card,Fiber Optic,Yes,No,2,4.0,1,15.5,48.0,27.57,1,Single,Mobile,Yes
CUST-00141,45.0,Female,15,,1385.62,Month-to-Month,Electronic Check,DSL,No,No Internet,2,4.0,5,18.3,64.0,11.62,3,Single,Tablet,Yes
CUST-00142,60.0,Female,52,52.91,2639.49,Two Year,Electronic Check,DSL,No,No,2,3.0,2,16.1,1.0,289.82,3,Married,Desktop,No
CUST-00143,19.0,Male,34,112.44,3948.52,One Year,Credit Card,Fiber Optic,No,Yes,1,5.0,1,14.0,32.0,168.76,1,Single,Desktop,No
CUST-00144,44.0,Female,40,88.93,3556.2,Two Year,Credit Card,Fiber Optic,Yes,Yes,3,5.0,1,3.3,9.0,293.13,2,Married,Mobile,No
CUST-00145,45.0,Female,40,60.18,2391.57,Month-to-Month,Credit Card,DSL,Yes,No Internet,1,2.0,1,27.5,41.0,257.66,2,Married,Mobile,No
CUST-00146,52.0,Male,24,60.65,1429.48,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,2,3.0,1,12.9,66.0,295.59,3,Single,Tablet,Yes
CUST-00147,24.0,Female,14,109.87,1557.0,Month-to-Month,Electronic Check,None,Yes,No,1,3.0,1,57.5,43.0,280.39,2,Single,Mobile,No
CUST-00148,23.0,Male,48,75.64,3650.05,One Year,Credit Card,DSL,No Internet,No,2,4.0,5,1.1,72.0,263.78,0,Married,Desktop,Yes
CUST-00149,49.0,Female,62,88.64,5543.21,Two Year,Credit Card,None,Yes,Yes,2,3.0,1,5.3,15.0,217.27,3,Single,Mobile,No
CUST-00150,46.0,Male,1,59.7,13.4,Two Year,Bank Transfer,DSL,No,No,2,4.0,2,1.6,29.0,220.4,1,Married,Desktop,Yes
CUST-00151,45.0,Female,1,40.37,24.75,Month-to-Month,Credit Card,Fiber Optic,Yes,No Internet,2,3.0,3,29.4,19.0,282.81,1,Married,Mobile,No
CUST-00152,46.0,Male,72,90.36,6607.45,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,1,2.0,3,25.5,,293.1,2,Married,Tablet,Yes
CUST-00153,32.0,Female,7,78.78,562.69,Month-to-Month,Bank Transfer,Fiber Optic,No Internet,Yes,3,1.0,5,22.2,24.0,283.21,3,Married,Mobile,No
CUST-00154,45.0,Male,49,68.13,3329.74,Month-to-Month,Bank Transfer,DSL,No,No Internet,0,5.0,5,17.0,37.0,144.96,3,Single,Mobile,No
CUST-00155,46.0,Female,11,80.4,837.32,Month-to-Month,Bank Transfer,None,No,No,2,2.0,3,1.7,29.0,263.08,0,Single,Mobile,No
CUST-00156,31.0,Female,3,38.83,141.79,Month-to-Month,Bank Transfer,DSL,Yes,No,2,5.0,3,7.8,59.0,153.07,2,Single,Desktop,No
CUST-00157,68.0,Male,2,97.39,246.33,Month-to-Month,Bank Transfer,Fiber Optic,No Internet,No,0,5.0,2,18.3,22.0,169.28,3,Married,Desktop,Yes
CUST-00158,48.0,Female,4,112.82,495.01,Month-to-Month,Credit Card,Fiber Optic,No,No,3,3.0,2,6.7,3.0,247.21,3,Married,Mobile,No
CUST-00159,25.0,Male,6,107.11,629.72,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No,1,3.0,1,19.0,89.0,249.03,2,Married,Mobile,Yes
CUST-00160,51.0,Female,16,50.14,820.3,One Year,Bank Transfer,Fiber Optic,Yes,No,1,5.0,3,5.0,24.0,247.15,2,Married,Mobile,Yes
CUST-00161,28.0,Female,29,58.6,1782.98,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,0,4.0,2,11.8,45.0,248.52,1,Divorced,Mobile,No
CUST-00162,53.0,Female,72,98.84,7170.02,Month-to-Month,Credit Card,DSL,Yes,No,1,3.0,1,6.6,34.0,128.09,0,Single,Mobile,No
CUST-00163,58.0,Female,13,77.51,968.42,One Year,Credit Card,Fiber Optic,No Internet,No,1,5.0,1,38.2,16.0,159.14,2,Married,Desktop,No
CUST-00164,30.0,Male,17,72.79,1110.13,One Year,Credit Card,DSL,No,No Internet,1,3.0,3,8.8,90.0,75.82,3,Married,Desktop,No
CUST-00165,55.0,Male,17,110.66,1896.06,Month-to-Month,Bank Transfer,DSL,Yes,No Internet,1,2.0,1,5.1,39.0,139.03,2,Married,Mobile,No
CUST-00166,47.0,Male,18,71.6,1328.73,Two Year,Credit Card,Fiber Optic,No,No Internet,0,2.0,3,1.0,7.0,288.21,2,Married,Mobile,Yes
CUST-00167,53.0,Female,17,69.49,1126.87,Month-to-Month,Bank Transfer,Fiber Optic,No,No,1,4.0,4,2.4,164.0,244.97,2,Single,Mobile,Yes
